MF,P1,P2,P3,P4,P5,P8,P9,P10,P11,P12,P13,P14,P15,P17,P18,P19,P20,Q1,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q17,Q18,Q19,Q20
_533,-0.255185247,0.7254949,-0.441595523,-0.409176345,0.344569553,-0.555062647,-1.138607859,-0.619901004,-1.252074983,-2.070659238,-0.790101691,-1.665419508,-1.235865394,-0.538853058,-0.773892102,0.00416818,-0.449700318,1.0253723,1.049686684,0.782228462,1.0253723,0.895695586,1.001057916,0.847066819,0.976743532,1.098315451,0.92000997,0.871381202,-2.070659238,0.158159277,1.6251271,0.51477024,0.498560651,0.81464764,-0.91167361
_711,-0.752371358,-0.752371358,-0.752371358,-0.752371358,-0.752371358,-0.752371358,-0.000231072,-0.752371358,-0.752371358,-0.34799486,-0.752371358,-0.752371358,-0.752371358,-0.752371358,-0.752371358,-0.752371358,-0.283294621,1.738587868,2.207664605,1.803288107,2.086351656,1.770937988,0.169607057,1.932688587,0.517370845,-0.752371358,0.679121444,0.307095066,-0.024493662,0.444583075,0.412232955,0.129169407,-0.752371358,-0.752371358,-0.752371358
_469,-0.620645525,-0.620645525,-0.620645525,-0.620645525,-0.620645525,-0.620645525,-0.620645525,-0.620645525,-0.620645525,-0.620645525,-0.620645525,-0.620645525,-0.620645525,-0.620645525,-0.620645525,-0.620645525,-0.620645525,1.665378384,2.191271208,1.933691049,2.094678649,1.890761023,-0.620645525,2.073213635,-0.620645525,-0.620645525,0.796045348,0.656522762,-0.084020195,0.549197696,0.076967405,0.431140123,-0.620645525,-0.620645525,-0.620645525
_1678,-0.642940866,-0.642940866,-0.642940866,-0.642940866,-0.642940866,-0.642940866,-0.642940866,-0.642940866,-0.642940866,-0.642940866,-0.642940866,-0.642940866,-0.642940866,-0.642940866,-0.642940866,-0.642940866,-0.642940866,0.518143991,0.849882521,-0.642940866,0.29698497,0.278555052,1.329060398,-0.642940866,1.494929664,-0.642940866,1.845098113,2.674444439,1.605509174,2.158406725,0.739303011,0.997321868,-0.642940866,-0.642940866,-0.642940866
_2388,-0.649561543,-0.649561543,-0.649561543,-0.649561543,-0.649561543,-0.649561543,-0.649561543,-0.649561543,-0.649561543,-0.649561543,-0.649561543,-0.649561543,-0.649561543,-0.649561543,-0.649561543,-0.649561543,-0.649561543,0.493799337,1.769723797,0.178960833,1.653730664,0.990912763,-0.649561543,0.692644707,0.974342315,-0.649561543,1.620589769,1.438314846,0.725785602,1.554307979,2.846802886,-0.649561543,-0.649561543,-0.649561543,-0.649561543
_1881,-1.165130317,-0.979104297,-0.580477111,0.176914541,-0.660202549,-0.686777694,0.083901531,-1.311293618,0.12376425,-0.633627403,-0.766503131,-0.075549343,-2.135123136,-1.802933814,-1.417594201,0.416090853,-0.168562353,0.921018621,0.708417456,0.004176094,0.389515707,0.509103863,-0.301438081,1.837861149,0.004176094,0.708417456,0.907731049,1.532246973,1.492384254,-0.115412061,1.279783089,0.442665999,1.479096681,-1.218280608,1.000744059
_1059,-0.984622232,-1.480584381,-1.480584381,-1.354063425,-0.278635295,-1.060534806,-0.028123801,-0.08885386,-0.708806547,0.151535957,-1.480584381,-1.480584381,-1.480584381,0.149005538,0.057910449,0.105988413,-0.906179239,0.87017499,1.085260616,0.738593195,0.95620924,0.895479181,1.092851873,0.824627445,1.095382292,-0.324182839,1.239616183,1.257329116,1.120686483,1.171294866,1.062486843,1.057426005,-0.283696133,-1.480584381,-0.03065422
_1882,-0.786533966,-0.619630206,-0.650924661,0.121005226,-0.671787631,-0.609198722,0.037553346,-0.546609812,-2.236510375,-0.421431992,-0.577904267,-0.348411598,-1.224656334,-1.714936127,-0.108487444,0.23575156,0.058416316,0.913798082,0.506970169,0.559127594,0.29834047,0.204457105,-0.181507838,1.977809548,0.027121861,0.767757293,1.143290751,-2.236510375,1.47709827,0.162731165,1.247605601,0.715599868,1.842200243,-0.400569022,1.038975902
_6780,1.937532437,0.945453388,1.872831629,0.528492628,1.010154195,1.707485121,-0.4707754,0.535681607,0.708217093,0.20498859,0.233744505,0.823240751,0.226555526,-1.189673261,0.62194935,0.83042973,1.002965217,-1.189673261,0.269689398,0.816051773,0.032453103,-0.83022433,-0.456397442,-1.189673261,-0.00349179,0.693839136,-0.154460341,-1.189673261,-1.189673261,-1.189673261,-1.189673261,-1.189673261,-1.189673261,-1.189673261,-1.189673261
_605,-1.062306212,-0.33079956,-0.873123457,-0.873123457,-0.09116807,-1.213652416,-0.910960008,-0.948796559,0.224136521,-0.84789909,-0.961408743,-1.188428049,-2.386585496,-0.784838172,-0.015494968,1.170050295,-0.583043233,1.661925458,1.207886846,1.447518336,0.829521337,0.879970071,-0.974020926,1.397069601,0.072790317,-0.141616805,0.224136521,0.892582255,1.687149825,0.123239052,0.098014684,1.043928459,0.917806622,-0.343411744,0.652950765
_744,-0.709640423,-1.609056503,-0.797194201,-1.286699412,-0.63004608,-0.741478161,-0.415141353,-0.283810687,-1.370273473,-0.502695131,-0.462897959,-1.481705553,-0.892707413,-0.538512585,-0.399222485,-0.220135212,-0.319628141,0.790712947,1.02551626,0.707138887,0.918063897,0.870307291,1.160826644,0.822550685,1.200623815,-0.757397029,1.507062037,1.50308232,1.355832785,1.411548825,1.188684664,1.260319573,-0.582289474,-1.350374887,-0.371364465
_1344,0.252856463,0.159633399,0.352294398,-0.946613627,-0.598580855,-0.611010597,-0.772597241,-0.648299822,-0.511572662,-0.903109531,-0.983902853,-1.487307399,-2.052860654,1.216161458,-2.363604201,-0.990117724,-0.555076758,1.004855846,1.334244006,0.675467687,1.197516845,0.874343557,1.116723523,0.638178461,1.570409102,0.930277395,0.781120493,1.054574814,0.911632782,0.196922625,-0.865820305,0.520095913,0.09748469,-0.505357791,-0.088961438
_3241,-1.30066042,-0.206472551,-1.096520892,-0.737235323,-0.402446498,-1.210839027,0.397780451,-0.688241836,-0.573923701,-0.720904161,-0.614751606,-0.647413931,-2.011065976,-0.190141389,-0.026829767,0.054826045,0.079322788,1.385815766,0.209972086,0.863218575,0.005832558,0.103819531,-0.467771146,1.393981347,-2.419345032,0.381449289,0.160978599,1.279663211,1.892081794,0.90404648,1.532796226,0.544760911,1.361319022,-0.247300456,1.010199034
_6053,-0.664077018,-0.70018685,-0.724260072,0.154412523,-0.363161746,0.286815242,0.52754746,-0.435381411,-0.68815024,-1.289980784,-1.590896056,-0.507601076,-0.074283084,-2.481605261,-1.807555052,-0.952955679,0.094229468,1.947867544,0.515510849,0.431254573,1.526586163,-0.507601076,0.647913569,1.466403109,0.900682397,1.803428214,-0.098356306,0.900682397,0.840499343,-0.086319695,0.780316289,0.046083025,0.419217962,-0.760369905,0.443291184
_1470,-1.476722465,-0.541194607,-0.530683058,0.078986782,-0.856541076,-1.413653171,0.163079174,-1.129841349,0.142056076,-0.677844743,-0.70937939,-0.562217705,-2.002299913,-1.077283604,0.163079174,-0.593752352,0.173590723,1.214234071,-0.299428981,1.025026189,0.541494937,-0.541194607,-0.91961037,2.097204184,0.236660017,0.299729311,1.01451464,0.520471839,2.013111792,-0.078686452,1.109118581,-0.383521372,2.013111792,0.015917488,0.972468445
_6189,-0.574438175,-0.574438175,-0.574438175,-0.574438175,-0.574438175,-0.574438175,-0.574438175,-0.574438175,-0.574438175,-0.574438175,-0.574438175,-0.574438175,-0.574438175,-0.574438175,-0.574438175,-0.574438175,-0.574438175,1.699209367,3.043378355,1.427515636,1.956603429,2.1138998,-0.574438175,1.642010687,0.269242359,-0.574438175,0.555235761,0.2978417,0.140545329,-0.574438175,0.641033782,-0.574438175,-0.574438175,-0.574438175,-0.574438175
_914,-0.578083413,-0.578083413,-0.578083413,-0.578083413,-0.578083413,-0.578083413,-0.578083413,-0.578083413,-0.578083413,-0.578083413,-0.578083413,-0.578083413,-0.578083413,-0.578083413,-0.578083413,-0.578083413,-0.578083413,0.064702396,0.391039806,-0.578083413,-0.578083413,-0.083632791,0.727266229,-0.578083413,1.755723523,-0.578083413,1.567832286,2.665512667,1.290939938,2.536955505,1.765612535,1.192049814,-0.578083413,-0.578083413,-0.578083413
_1421,-0.55972455,-0.55972455,-0.55972455,-0.55972455,-0.55972455,-0.55972455,-0.55972455,-0.55972455,-0.55972455,-0.55972455,-0.55972455,-0.55972455,-0.55972455,-0.55972455,-0.55972455,-0.55972455,-0.55972455,0.031219696,-0.55972455,-0.002229978,1.068159599,0.176168285,1.815202325,0.06466937,-0.55972455,-0.55972455,2.294647656,2.707193639,1.792902542,1.993600587,1.491855473,-0.55972455,-0.55972455,-0.55972455,-0.55972455
_1630,-0.567709962,-0.567709962,-0.567709962,-0.567709962,-0.567709962,-0.567709962,-0.567709962,-0.567709962,-0.567709962,-0.567709962,-0.567709962,-0.567709962,-0.567709962,-0.567709962,-0.567709962,-0.567709962,-0.567709962,2.121207403,1.946115109,1.842935722,1.902342036,1.974254942,-0.567709962,2.124334051,-0.411377557,-0.567709962,-0.567709962,-0.567709962,0.651682796,0.657936093,-0.364477835,1.180086325,-0.567709962,-0.567709962,-0.567709962
_2257,-0.558725916,-0.558725916,-0.558725916,-0.558725916,-0.558725916,-0.558725916,-0.558725916,-0.558725916,-0.558725916,-0.558725916,-0.558725916,-0.558725916,-0.558725916,-0.558725916,-0.558725916,-0.558725916,-0.558725916,-0.203947123,0.810720225,0.434654704,-0.558725916,-0.558725916,1.655093752,0.065684759,-0.558725916,-0.558725916,1.747336239,2.045350425,3.03163547,2.187261942,0.413367977,1.222263625,-0.558725916,-0.558725916,-0.558725916
_2705,-0.599199522,-0.599199522,-0.599199522,-0.599199522,-0.599199522,-0.599199522,-0.599199522,-0.599199522,-0.599199522,-0.599199522,-0.599199522,-0.599199522,-0.599199522,-0.599199522,-0.599199522,-0.599199522,-0.599199522,1.442200537,2.136276557,1.578293874,2.245151227,1.809652548,-0.599199522,2.231541893,-0.599199522,-0.599199522,0.97948319,-0.599199522,-0.258966179,1.095162527,0.782147851,0.339844505,-0.599199522,-0.599199522,-0.599199522
_2735,-0.577683879,-0.577683879,-0.577683879,-0.577683879,-0.577683879,-0.577683879,-0.577683879,-0.577683879,-0.577683879,-0.577683879,-0.577683879,-0.577683879,-0.577683879,-0.577683879,-0.577683879,-0.577683879,-0.577683879,1.772359225,2.366561468,1.734887011,2.264851174,1.986486159,-0.577683879,1.991839332,-0.310025211,-0.577683879,0.428712712,-0.577683879,0.412653192,0.66425234,0.551835699,-0.577683879,-0.577683879,-0.577683879,-0.577683879
